user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,5457),start,Tue,4/14,7:36
user5,workstation8,workstation8,(v35.0),(licserver/7788,5457),start,Tue,4/14,7:36
user5,workstation8,workstation8,(v35.0),(licserver/7788,5457),start,Tue,4/14,7:36
user5,workstation8,workstation8,(v35.0),(licserver/7788,5457),start,Tue,4/14,7:36
user5,workstation8,workstation8,(v35.0),(licserver/7788,5457),start,Tue,4/14,7:36
user5,workstation8,workstation8,(v35.0),(licserver/7788,5457),start,Tue,4/14,7:36
user5,workstation8,workstation8,(v35.0),(licserver/7788,5457),start,Tue,4/14,7:36
user5,workstation8,workstation8,(v35.0),(licserver/7788,5458),start,Tue,4/14,8:13
user5,workstation8,workstation8,(v35.0),(licserver/7788,5459),start,Tue,4/14,8:19
user5,workstation8,workstation8,(v35.0),(licserver/7788,5459),start,Tue,4/14,8:19
user5,workstation8,workstation8,(v35.0),(licserver/7788,5459),start,Tue,4/14,8:19
user5,workstation8,workstation8,(v35.0),(licserver/7788,5459),start,Tue,4/14,8:19
user5,workstation8,workstation8,(v35.0),(licserver/7788,5459),start,Tue,4/14,8:19
user5,workstation8,workstation8,(v35.0),(licserver/7788,6872),start,Tue,4/14,8:21
user5,workstation8,workstation8,(v35.0),(licserver/7788,6872),start,Tue,4/14,8:21
user5,workstation8,workstation8,(v35.0),(licserver/7788,6872),start,Tue,4/14,8:21
